pt,family,spp,spp_id,dist,counts,elev
16,Acrocephalidae,Iduna similis,49,4,1,2705
16,Cisticolidae,Cisticola chubbi,50,4,2,2705
16,Columbidae,Columba arquatrix,7,5,1,2705
16,Malaconotidae,Laniarius poensis,21,4,1,2705
16,Malaconotidae,Telophorus dohertyi,22,4,1,2705
16,Cisticolidae,Oreolais ruwenzori,51,4,1,2705
16,Zosteropidae,Zosterops senegalensis,63,3,2,2705
17,Pycnonotidae,Eurillas latirostris,42,4,1,2676
17,Cisticolidae,Apalis porphyrolaema,46,3,1,2676
17,Locustellidae,Bradypterus cinnamomeus,47,2,1,2676
17,Acrocephalidae,Iduna similis,49,3,1,2676
17,Nectariniidae,Cinnyris venustus,33,2,1,2676
17,Cisticolidae,Cisticola chubbi,50,1,4,2676
17,Muscicapidae,Cossypha archeri,60,2,2,2676
17,Malaconotidae,Laniarius poensis,21,4,1,2676
17,Cisticolidae,Oreolais ruwenzori,51,4,1,2676
17,Musophagidae,Ruwenzorornis johnstoni,29,5,1,2676
18,Cisticolidae,Apalis porphyrolaema,46,4,1,2606
18,Cisticolidae,Cisticola chubbi,50,1,2,2606
18,Cisticolidae,Cisticola chubbi,50,3,2,2606
18,Muscicapidae,Cossypha archeri,60,2,2,2606
18,Malaconotidae,Laniarius poensis,21,5,2,2606
18,Cisticolidae,Oreolais ruwenzori,51,5,1,2606
18,Zosteropidae,Zosterops senegalensis,63,1,2,2606
19,Pycnonotidae,Eurillas latirostris,42,4,1,2381
19,Locustellidae,Bradypterus cinnamomeus,47,3,1,2381
19,Malaconotidae,Laniarius poensis,21,5,1,2381
19,Malaconotidae,Telophorus dohertyi,22,3,1,2381
19,Meropidae,Merops oreobates,23,2,2,2381
19,Lybiidae,Pogoniulus bilineatus,3,4,2,2381
19,Lybiidae,Pogoniulus coryphaeus,4,3,1,2381
19,Sylviidae,Pseudoalcippe abyssinica,58,4,1,2381
20,Pycnonotidae,Eurillas latirostris,42,3,1,2389
20,Cisticolidae,Apalis personata,45,1,2,2389
20,Trogonidae,Apaloderma narina,59,4,1,2389
20,Platysteiridae,Batis diops,24,3,1,2389
20,Muscicapidae,Cossypha archeri,60,2,2,2389
20,Malaconotidae,Laniarius poensis,21,2,1,2389
20,Cisticolidae,Oreolais ruwenzori,51,1,2,2389
20,Lybiidae,Pogoniulus bilineatus,3,5,2,2389
20,Sylviidae,Pseudoalcippe abyssinica,58,1,1,2389
20,Pycnonotidae,Pycnonotus barbatus,44,2,1,2389
20,Columbidae,Streptopelia semitorquata,9,5,1,2389
20,Monarchidae,Terpsiphone viridis,28,3,1,2389
21,Locustellidae,Bradypterus cinnamomeus,47,2,1,2365
21,Cuculidae,Chrysococcyx klaas,11,4,1,2365
21,Nectariniidae,Cinnyris stuhlmanni,32,3,1,2365
21,Cisticolidae,Cisticola chubbi,50,3,2,2365
21,Pycnonotidae,Pycnonotus barbatus,44,2,1,2365
21,Columbidae,Streptopelia semitorquata,9,4,1,2365
21,Musophagidae,Ruwenzorornis johnstoni,29,6,1,2365
22,Locustellidae,Bradypterus cinnamomeus,47,2,2,2464
22,Acrocephalidae,Iduna natalensis,48,2,1,2464
22,Nectariniidae,Cinnyris regius,31,1,1,2464
22,Nectariniidae,Cinnyris venustus,33,2,1,2464
22,Cisticolidae,Cisticola chubbi,50,1,4,2464
22,Cuculidae,Cuculus solitarius,12,5,1,2464
22,Malaconotidae,Laniarius poensis,21,3,1,2464
22,Lybiidae,Pogoniulus coryphaeus,4,3,1,2464
23,Cisticolidae,Apalis porphyrolaema,46,2,1,2494
23,Nectariniidae,Cinnyris stuhlmanni,32,2,1,2494
23,Nectariniidae,Cinnyris venustus,33,1,1,2494
