"","x"
"1",41.6666666666667
"2",48.3333333333333
"3",45
"4",48.3333333333333
"5",61.6666666666667
"6",50
"7",56.6666666666667
"8",50
"9",55
"10",53.3333333333333
"11",41.6666666666667
"12",65
"13",60
"14",41.6666666666667
"15",68.3333333333333
"16",48.3333333333333
"17",50
"18",38.3333333333333
"19",48.3333333333333
"20",36.6666666666667
"21",45
"22",51.6666666666667
"23",45
"24",50
"25",45
"26",43.3333333333333
"27",45
"28",41.6666666666667
"29",60
"30",58.3333333333333
"31",43.3333333333333
"32",51.6666666666667
"33",41.6666666666667
"34",60
"35",58.3333333333333
"36",51.6666666666667
"37",38.3333333333333
"38",53.3333333333333
"39",48.3333333333333
"40",53.3333333333333
"41",51.6666666666667
"42",46.6666666666667
"43",40
"44",40
"45",53.3333333333333
"46",41.6666666666667
"47",56.6666666666667
"48",56.6666666666667
"49",43.3333333333333
"50",46.6666666666667
"51",43.3333333333333
"52",40
"53",45
"54",46.6666666666667
"55",63.3333333333333
"56",51.6666666666667
"57",51.6666666666667
"58",51.6666666666667
"59",46.6666666666667
"60",41.6666666666667
"61",46.6666666666667
"62",50
"63",36.6666666666667
"64",46.6666666666667
"65",38.3333333333333
"66",46.6666666666667
"67",53.3333333333333
"68",55
"69",41.6666666666667
"70",45
"71",41.6666666666667
"72",43.3333333333333
"73",40
"74",51.6666666666667
"75",55
"76",60
"77",58.3333333333333
"78",46.6666666666667
"79",40
"80",48.3333333333333
"81",38.3333333333333
"82",51.6666666666667
"83",43.3333333333333
"84",55
"85",58.3333333333333
"86",43.3333333333333
"87",60
"88",48.3333333333333
"89",48.3333333333333
"90",50
"91",45
"92",40
"93",43.3333333333333
"94",50
"95",55
"96",50
"97",50
"98",60
"99",53.3333333333333
"100",41.6666666666667
"101",55
"102",56.6666666666667
"103",56.6666666666667
"104",40
"105",43.3333333333333
"106",53.3333333333333
"107",46.6666666666667
"108",61.6666666666667
"109",56.6666666666667
"110",53.3333333333333
"111",55
"112",51.6666666666667
"113",50
"114",51.6666666666667
"115",43.3333333333333
"116",51.6666666666667
"117",46.6666666666667
"118",43.3333333333333
"119",40
"120",46.6666666666667
"121",43.3333333333333
"122",48.3333333333333
"123",46.6666666666667
"124",40
"125",45
"126",50
"127",40
"128",53.3333333333333
"129",50
"130",45
"131",31.6666666666667
"132",55
"133",48.3333333333333
"134",43.3333333333333
"135",48.3333333333333
"136",45
"137",48.3333333333333
"138",46.6666666666667
"139",53.3333333333333
"140",46.6666666666667
"141",48.3333333333333
"142",60
"143",53.3333333333333
"144",45
"145",46.6666666666667
"146",53.3333333333333
"147",38.3333333333333
"148",40
"149",53.3333333333333
"150",46.6666666666667
"151",58.3333333333333
"152",46.6666666666667
"153",56.6666666666667
"154",35
"155",50
"156",45
"157",50
"158",56.6666666666667
"159",53.3333333333333
"160",55
"161",56.6666666666667
"162",48.3333333333333
"163",58.3333333333333
"164",45
"165",53.3333333333333
"166",40
"167",53.3333333333333
"168",48.3333333333333
"169",36.6666666666667
"170",51.6666666666667
"171",48.3333333333333
"172",53.3333333333333
"173",46.6666666666667
"174",51.6666666666667
"175",45
"176",43.3333333333333
"177",61.6666666666667
"178",43.3333333333333
"179",46.6666666666667
"180",55
"181",46.6666666666667
"182",46.6666666666667
"183",58.3333333333333
"184",63.3333333333333
"185",48.3333333333333
"186",48.3333333333333
"187",48.3333333333333
"188",55
"189",40
"190",53.3333333333333
"191",50
"192",48.3333333333333
"193",53.3333333333333
"194",63.3333333333333
"195",46.6666666666667
"196",41.6666666666667
"197",53.3333333333333
"198",51.6666666666667
"199",60
"200",58.3333333333333
"201",35
"202",43.3333333333333
"203",53.3333333333333
