pt,family,spp,spp_id,dist,counts,elev
98,Cisticolidae,Cisticola chubbi,3,3,2,2595
98,Cisticolidae,Oreolais ruwenzori,4,4,1,2595
99,Cisticolidae,Oreolais ruwenzori,4,3,1,2550
99,Cisticolidae,Prinia bairdii,5,3,1,2550
100,Cisticolidae,Apalis personata,1,1,3,2495
100,Cisticolidae,Apalis porphyrolaema,2,2,2,2495
100,Cisticolidae,Cisticola chubbi,3,3,2,2495
100,Cisticolidae,Oreolais ruwenzori,4,2,1,2495
102,Cisticolidae,Apalis porphyrolaema,2,1,1,2417
102,Cisticolidae,Oreolais ruwenzori,4,1,1,2417
103,Cisticolidae,Apalis porphyrolaema,2,2,1,2397
103,Cisticolidae,Cisticola chubbi,3,2,2,2397
104,Cisticolidae,Apalis personata,1,3,1,2726
104,Cisticolidae,Cisticola chubbi,3,2,2,2726
105,Cisticolidae,Oreolais ruwenzori,4,4,1,2387
105,Cisticolidae,Prinia bairdii,5,2,2,2387
106,Cisticolidae,Oreolais ruwenzori,4,4,1,2371
106,Cisticolidae,Prinia bairdii,5,3,2,2371
107,Cisticolidae,Apalis porphyrolaema,2,2,2,2359
107,Cisticolidae,Oreolais ruwenzori,4,3,1,2359
108,Cisticolidae,Cisticola chubbi,3,2,2,2309
108,Cisticolidae,Prinia bairdii,5,2,2,2309
109,Cisticolidae,Oreolais ruwenzori,4,3,1,2280
109,Cisticolidae,Prinia bairdii,5,3,1,2280
110,Cisticolidae,Cisticola chubbi,3,3,2,2274
110,Cisticolidae,Prinia bairdii,5,3,2,2274
111,Cisticolidae,Apalis personata,1,2,2,2246
111,Cisticolidae,Cisticola chubbi,3,3,2,2246
112,Cisticolidae,Apalis personata,1,2,1,2690
112,Cisticolidae,Cisticola chubbi,3,2,2,2690
112,Cisticolidae,Cisticola chubbi,3,4,2,2690
113,Cisticolidae,Oreolais ruwenzori,4,3,1,2657
114,Cisticolidae,Oreolais ruwenzori,4,2,1,2237
115,Cisticolidae,Cisticola chubbi,3,4,2,2329
115,Cisticolidae,Prinia bairdii,5,4,2,2329
117,Cisticolidae,Cisticola chubbi,3,4,2,2391
117,Cisticolidae,Oreolais ruwenzori,4,3,1,2391
118,Cisticolidae,Cisticola chubbi,3,2,2,2432
118,Cisticolidae,Oreolais ruwenzori,4,1,2,2432
