,Sp1,Sp2,Sp3,Sp4,Sp5,Sp6,Sp7,Sp8,Sp9,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,Sp21,Sp22,Sp23,Sp24,Sp25,Sp26,Sp27,Sp28,Sp29,Sp30,Sp31,Sp32,Sp33,Sp34,Sp35,Sp36,Sp37,Sp38,Sp39,Sp40,Sp41,Sp42,Sp43,Sp44,Sp45,Sp46,Sp47,Sp48,Sp49,Sp50,Sp51,Sp52,Sp53,Sp54,Sp55,Sp56,Sp57,Sp58,Sp59,Sp60,Sp61,Sp62,Sp63
Diet-Inv,10,90,30,40,50,0,10,10,10,40,100,80,0,0,10,20,100,90,40,100,90,100,100,100,100,100,100,80,10,0,50,50,50,60,60,50,50,100,60,70,10,30,30,10,100,100,100,100,100,100,100,100,100,100,100,80,100,70,90,100,70,30,30
Diet-Vend,60,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diet-Vect,30,0,0,0,0,0,0,0,0,30,0,10,0,0,0,0,0,0,20,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,20,0,0
Diet-Vunk,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Diet-Fruit,0,0,70,60,20,70,60,30,20,0,0,10,0,0,10,20,0,0,20,0,0,0,0,0,0,0,0,20,80,100,0,0,0,0,20,0,50,0,20,10,30,50,60,50,0,0,0,0,0,0,0,0,0,0,0,10,0,20,0,0,10,40,30
Diet-Nect,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,40,0,50,0,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Diet-Seed,0,0,0,0,0,0,30,30,40,0,0,0,100,100,60,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,10,30,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,20,10
Diet-PlantO,0,0,0,0,30,20,0,30,30,0,0,0,0,0,20,40,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,30,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
