Species,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy,ForStrat-aerial
Hedydipna collaris,0,50,30,20,0
Cyanomitra alinae,0,50,50,0,0
Cinnyris venustus,0,30,30,30,10
Cinnyris stuhlmanni,0,70,30,0,0
Cinnyris regius,0,50,50,0,0
Nectarinia johnstoni,20,40,20,10,10
