Species,ForStrat-ground,ForStrat-understory,ForStrat-midhigh,ForStrat-canopy
Melaenornis fisheri,100,0,0,0
Bradornis comitatus,0,70,30,0
Cossypha archeri,50,50,0,0
Pogonocichla stellata,30,40,20,10
