"","x"
"1",36.6666666666667
"2",40
"3",36.6666666666667
"4",40
"5",46.6666666666667
"6",36.6666666666667
"7",41.6666666666667
"8",48.3333333333333
"9",40
"10",48.3333333333333
"11",43.3333333333333
"12",56.6666666666667
"13",31.6666666666667
"14",43.3333333333333
"15",45
"16",48.3333333333333
"17",46.6666666666667
"18",41.6666666666667
"19",41.6666666666667
"20",41.6666666666667
"21",43.3333333333333
"22",43.3333333333333
"23",53.3333333333333
"24",45
"25",43.3333333333333
"26",43.3333333333333
"27",38.3333333333333
"28",51.6666666666667
"29",53.3333333333333
"30",33.3333333333333
"31",38.3333333333333
"32",41.6666666666667
"33",28.3333333333333
"34",45
"35",46.6666666666667
"36",53.3333333333333
"37",41.6666666666667
"38",51.6666666666667
"39",50
"40",43.3333333333333
"41",40
"42",36.6666666666667
"43",46.6666666666667
"44",40
"45",35
"46",50
"47",43.3333333333333
"48",46.6666666666667
"49",36.6666666666667
"50",40
"51",48.3333333333333
"52",46.6666666666667
"53",46.6666666666667
"54",46.6666666666667
"55",41.6666666666667
"56",35
"57",56.6666666666667
"58",55
"59",51.6666666666667
"60",36.6666666666667
"61",48.3333333333333
"62",45
"63",48.3333333333333
"64",51.6666666666667
"65",41.6666666666667
"66",51.6666666666667
"67",48.3333333333333
"68",51.6666666666667
"69",43.3333333333333
"70",51.6666666666667
"71",36.6666666666667
"72",46.6666666666667
"73",45
"74",48.3333333333333
"75",43.3333333333333
"76",56.6666666666667
"77",53.3333333333333
"78",35
"79",58.3333333333333
"80",35
"81",55
"82",46.6666666666667
"83",45
"84",48.3333333333333
"85",48.3333333333333
"86",41.6666666666667
"87",51.6666666666667
"88",40
"89",55
"90",53.3333333333333
"91",50
"92",43.3333333333333
"93",45
"94",46.6666666666667
"95",43.3333333333333
"96",36.6666666666667
"97",35
"98",55
"99",38.3333333333333
"100",58.3333333333333
"101",40
"102",45
"103",51.6666666666667
"104",30
"105",43.3333333333333
"106",41.6666666666667
"107",46.6666666666667
"108",38.3333333333333
"109",51.6666666666667
"110",51.6666666666667
"111",38.3333333333333
"112",43.3333333333333
"113",46.6666666666667
"114",45
"115",41.6666666666667
"116",46.6666666666667
"117",46.6666666666667
"118",45
"119",40
"120",53.3333333333333
"121",48.3333333333333
"122",43.3333333333333
"123",53.3333333333333
"124",35
"125",40
"126",43.3333333333333
"127",35
"128",45
"129",46.6666666666667
"130",51.6666666666667
"131",45
"132",46.6666666666667
"133",36.6666666666667
"134",33.3333333333333
"135",51.6666666666667
"136",40
"137",46.6666666666667
"138",50
"139",38.3333333333333
"140",58.3333333333333
"141",45
"142",55
"143",45
"144",48.3333333333333
"145",45
"146",38.3333333333333
"147",48.3333333333333
"148",36.6666666666667
"149",43.3333333333333
"150",36.6666666666667
"151",51.6666666666667
"152",50
"153",53.3333333333333
"154",55
"155",50
"156",50
"157",48.3333333333333
"158",38.3333333333333
"159",28.3333333333333
"160",35
"161",51.6666666666667
"162",33.3333333333333
"163",48.3333333333333
"164",50
"165",51.6666666666667
"166",43.3333333333333
"167",41.6666666666667
"168",43.3333333333333
"169",41.6666666666667
"170",41.6666666666667
"171",48.3333333333333
"172",45
"173",50
"174",40
"175",46.6666666666667
"176",28.3333333333333
"177",51.6666666666667
"178",46.6666666666667
"179",50
"180",46.6666666666667
"181",40
"182",43.3333333333333
"183",46.6666666666667
"184",36.6666666666667
"185",50
"186",43.3333333333333
"187",48.3333333333333
"188",41.6666666666667
"189",50
"190",40
"191",41.6666666666667
"192",45
"193",48.3333333333333
"194",43.3333333333333
"195",38.3333333333333
"196",41.6666666666667
"197",46.6666666666667
"198",50
"199",40
"200",46.6666666666667
"201",45
"202",48.3333333333333
"203",53.3333333333333
"204",43.3333333333333
"205",38.3333333333333
"206",35
"207",38.3333333333333
"208",36.6666666666667
"209",46.6666666666667
"210",40
"211",43.3333333333333
"212",41.6666666666667
"213",53.3333333333333
"214",51.6666666666667
"215",40
"216",38.3333333333333
"217",55
"218",40
"219",31.6666666666667
"220",48.3333333333333
"221",48.3333333333333
"222",51.6666666666667
"223",45
"224",33.3333333333333
"225",43.3333333333333
"226",56.6666666666667
"227",41.6666666666667
"228",41.6666666666667
"229",36.6666666666667
"230",40
"231",33.3333333333333
"232",50
"233",36.6666666666667
"234",48.3333333333333
"235",48.3333333333333
"236",46.6666666666667
"237",56.6666666666667
"238",46.6666666666667
"239",33.3333333333333
"240",51.6666666666667
"241",50
"242",43.3333333333333
"243",38.3333333333333
"244",51.6666666666667
"245",45
"246",36.6666666666667
"247",43.3333333333333
"248",36.6666666666667
"249",43.3333333333333
"250",43.3333333333333
"251",50
"252",45
"253",45
"254",51.6666666666667
"255",55
"256",41.6666666666667
"257",41.6666666666667
"258",51.6666666666667
"259",51.6666666666667
"260",45
"261",45
"262",45
"263",45
"264",48.3333333333333
"265",50
"266",50
"267",38.3333333333333
"268",48.3333333333333
"269",43.3333333333333
"270",43.3333333333333
"271",38.3333333333333
"272",38.3333333333333
"273",41.6666666666667
"274",41.6666666666667
"275",46.6666666666667
"276",40
"277",51.6666666666667
"278",45
"279",36.6666666666667
"280",35
"281",53.3333333333333
"282",48.3333333333333
"283",31.6666666666667
"284",40
"285",30
"286",48.3333333333333
"287",46.6666666666667
"288",46.6666666666667
"289",56.6666666666667
"290",46.6666666666667
"291",43.3333333333333
"292",48.3333333333333
"293",51.6666666666667
"294",41.6666666666667
"295",46.6666666666667
"296",46.6666666666667
"297",45
"298",48.3333333333333
"299",36.6666666666667
"300",30
"301",48.3333333333333
"302",40
"303",43.3333333333333
"304",48.3333333333333
"305",40
"306",43.3333333333333
"307",50
"308",43.3333333333333
"309",38.3333333333333
"310",51.6666666666667
"311",41.6666666666667
"312",46.6666666666667
"313",53.3333333333333
"314",50
"315",51.6666666666667
"316",40
"317",26.6666666666667
"318",51.6666666666667
"319",45
"320",45
"321",43.3333333333333
"322",51.6666666666667
"323",46.6666666666667
